Date,Open,High,Low,Close,STMACD,STSIG,swH,swL,reddec,greenasc,crsUp,crsDn
23,8/9/2020 10:25:00 PM,0.001918300,0.001919200,0.001916800,0.001917500,-12.76,-11.82,0.001926700,0.001920800,0.001926700,NaN,NaN,NaN
24,8/9/2020 10:20:00 PM,0.001918700,0.001919100,0.001916600,0.001918500,-11.84,-11.58,0.001926700,0.001920800,0.001926700,NaN,NaN,NaN
25,8/9/2020 10:15:00 PM,0.001920000,0.001921000,0.001918200,0.001918400,-11.99,-11.52,0.001926700,0.001920800,0.001926700,NaN,NaN,NaN
26,8/9/2020 10:10:00 PM,0.001922600,0.001925000,0.001920000,0.001920000,-11.80,-11.40,0.001926700,0.001920800,0.001926700,NaN,NaN,NaN
27,8/9/2020 10:05:00 PM,0.001922700,0.001924500,0.001922100,0.001922800,-11.23,-11.30,0.001926700,0.001920800,0.001926700,NaN,NaN,NaN
28,8/9/2020 10:00:00 PM,0.001923400,0.001923400,0.001921600,0.001922700,-11.42,-11.32,0.001934600,0.001920800,NaN,NaN,NaN,NaN
29,8/9/2020 9:55:00 PM,0.001923100,0.001924600,0.001922300,0.001923200,-11.43,-11.30,0.001934600,0.001920800,NaN,NaN,NaN,NaN
30,8/9/2020 9:50:00 PM,0.001922900,0.001923500,0.001922300,0.001923000,-11.61,-11.26,0.001934600,0.001920800,NaN,NaN,NaN,NaN
31,8/9/2020 9:45:00 PM,0.001924000,0.001924000,0.001922000,0.001922900,-11.54,-11.18,0.001934600,0.001920800,NaN,NaN,NaN,NaN
32,8/9/2020 9:40:00 PM,0.001925900,0.001926700,0.001922600,0.001923300,-11.21,-11.09,0.001934600,0.001920800,NaN,NaN,NaN,NaN
33,8/9/2020 9:35:00 PM,0.001922800,0.001926200,0.001922800,0.001925700,-10.90,-11.06,0.001934600,0.001927500,NaN,NaN,NaN,NaN
34,8/9/2020 9:30:00 PM,0.001924500,0.001924800,0.001922000,0.001922400,-11.93,-11.10,0.001934600,0.001927500,NaN,NaN,NaN,NaN
35,8/9/2020 9:25:00 PM,0.001924000,0.001924800,0.001922100,0.001924100,-10.89,-10.89,0.001934600,0.001927500,NaN,NaN,NaN,NaN
36,8/9/2020 9:20:00 PM,0.001921800,0.001925700,0.001921800,0.001923800,-10.53,NaN,0.001934600,0.001927500,NaN,NaN,NaN,NaN
37,8/9/2020 9:15:00 PM,0.001924700,0.001926200,0.001920800,0.001921800,-9.72,NaN,0.001934600,0.001927500,NaN,NaN,NaN,NaN
38,8/9/2020 9:10:00 PM,0.001924200,0.001925400,0.001923400,0.001925300,-7.02,NaN,0.001934600,0.001927500,NaN,NaN,NaN,NaN
39,8/9/2020 9:05:00 PM,0.001928500,0.001928700,0.001923500,0.001924400,-6.07,NaN,0.001934600,0.001927500,NaN,NaN,NaN,NaN
40,8/9/2020 9:00:00 PM,0.001926400,0.001928800,0.001925100,0.001927800,-4.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN

